ChrisDca,171,1
English_AS,168,1
euronewsde,152,1
Janosikgarciaz,150,1
SharecareInc,143,1
PSDBoficial,142,1
dailyblastlive,142,1
sushbhattarai,136,1
reformaciudad,135,1
TMB_Barcelona,135,1
thefield_in,134,1
JioNews,134,1
AgenciaAnadolu,133,1
fssccoo,130,1
APO_source,127,1
SPECNewsCNY,120,1
TenikkaANjax,118,1
PueblaFMmx,117,1
mnaEN,113,1
AsiavilleNews,110,1
tjholmes,107,1
MyArkLaMiss,106,1
noticias14,104,1
estrelladigital,103,1
Antena3Deportes,101,1
ChadSabadie,101,1
baphometx,95,1
tracysherlock,95,1
SarahBuduson,95,1
HindiAsiaville,92,1
imgujarat,88,1
barcelona_010,85,1
TennisActu,79,1
7NewsCQ,76,1
PilarPedrazaTV,75,1
matisaksk,74,1
7NewsCairns,72,1
7NewsSC,71,1
CodyLillich,65,1
ameckardt,64,1
7NewsTownsville,62,1
onlymyhealth,61,1
7NewsToowoomba,57,1
MelanieNagyCTV,57,1
onewmphoto,56,1
ReadingEagle,54,1
SpeakerTimJones,54,1
AlDiaDallas,54,1
SPECNewsAlbany,50,1
IlkhaAgency,46,1
7NewsWideBay,44,1
volksbladnuus,43,1
News18Sports,43,1
GNOpinion,39,1
LuceverdeRoma,38,1
Agerpres_Sport,34,1
malbertnews,33,1
7NewsMackay,33,1
MarcoIslandPD,30,1
elboletinmadrid,29,1
villelalonde83,25,1
AydinlikGazete,24,1
ValentinaInLA,20,1
GiaPettinelli,19,1
JonahBlank,18,1
UBusiness,11,1
Grav1,10,1
kxnt,9,1
Canoe,8,1
TUCC_Official,4,1
TUCIOfficial,2,1
La_Cerca,-3,1
RespSocialeRai,-4,1
ENH_Deportes,-9,1
discoradioIT,-12,1
conserv_tribune,-13,1
michaelcdeibert,-13,1
PureCountry93,-27,1
DineroEnImagen,-45,1
danielseabrabh,-47,1
StandWithUs,-61,1
LoQueSigue_,-98,1
CatchNews,-117,1
mjgranger1,-190,1
openletterbot,-208,1
SBS8news,-249,1
TUDNUSA,-444,1
v_shakthi,-516,1
tancredipalmeri,-743,1
peta,-1376,1
shanghaidaily,-2152,1
CGTNFrancais,-2366,1
DunyaNews,-3884,1
segurosybanca,-4004,1
GazetaRu,-6904,1
CGTNOfficial,-38364,1
ZeeNews,-1774082,1
